idx,source_entity,target_entity,independent_sources,qual_score,evidence_excerpt,edge_votes,reject_votes,core120b_decision,core120b_rationale,slm8b_decision,slm8b_rationale,nemotron_decision,nemotron_rationale,gptoss_decision,gptoss_rationale,OPERATOR_VERDICT_edge_or_reject,OPERATOR_rel_type_if_edge,OPERATOR_notes
6,Islamabad,the NCCIA Cybercrime Reporting Centre,1,0.1253,"IHC tells NCCIA to provide journalist Asad Toor with details of allegations against him — <p>ISLAMABAD: The Islamabad High Court (IHC) on Friday directed the National Cyber Crime Investigation Agency (NCCIA) to provide vlogger and journalist Asad Toor with details of the allegations against him in connection with a summons issued by the agency.</p> <p>The agency had issued a <a href=""https://www.d",2,2,ConductedVia,Islamabad High Court directed NCCIA to provide information.,REJECT,Islamabad and the NCCIA Cybercrime Reporting Centre are unrelated entities,LocatedIn,NCCIA is based in Islamabad,REJECT,No direct relation between Islamabad city and NCCIA.,,,
11,Geoffrey Watson SC,Labor,1,0.1253,"‘Nobody from the Labor party has contacted me’ about $15bn CFMEU corruption claim, expert says — <p>Geoffrey Watson criticises Victorian government as union administrator warns of ongoing criminality on construction sites</p><ul><li><p><a href=""https://www.theguardian.com/australia-news/live/2026/jul/31/australia-news-live-working-with-children-check-garma-festival-anthony-albanese-labor-angus-tay",2,2,REJECT,No substantive connection beyond quoted comment.,REJECT,Geoffrey Watson SC and Labor are unrelated entities,AffiliatedWith,Watson criticized Labor party,HostileTo,Watson publicly criticises Labor party.,,,
16,Caspian,Europe,1,0.2207,"Azerbaijani pipelines act as critical 'arteries' linking Caspian gas to Europe, says SOCAR Executive — In an interview with Euronews, SOCAR energy executives discussed Azerbaijan’s expanding role in European energy security, following a 56 per cent increase in natural gas exports to the EU since 2021. co_mentioned: Azerbaijan, Euronews, European Union, SOCAR",2,2,InvolvedIn,Caspian gas pipelines supply Europe.,REJECT,Azerbaijani pipelines link Caspian gas to Europe.,SuppliesWeaponsTo,Caspian gas supplies Europe via Azerbaijani pipelines per evidence,REJECT,No allowed relationship type for gas supply.,,,
18,Mikhail Fyodorov,Russian Foreign Ministry,1,0.1671,"The situation surrounding rallies in Ukraine triggered by the dismissal of Defense Minister Mikhail Fyodorov has demonstrated how easily those who are behind the ex-minister can organize street protests, Russian Foreign Ministry’s Ambassador at Large Rodion Miroshnik said. “They have demonstrated that they can influence the Ukrainian authorities,” he told TASS. “People who, just yesterday, had no ",2,2,REJECT,No direct link between Fyodorov and Russian Foreign Ministry.,REJECT,No meaningful relationship found between Mikhail Fyodorov and the Russian Foreign Ministry.,AffiliatedWith,Russian Foreign Ministry’s Ambassador commented on Fyodorov per evidence,InvolvedIn,Ministry comments on Fyodorov‑related protests.,,,
26,Iraq,Military,1,0.1972,"US soldier killed in Iraq during disposal of downed Iranian drone, CENTCOM says — Military also says unidentified remains found in Jordan after attack that killed two US service members and left one missing co_mentioned: CENTCOM, Jordan, United States",2,2,InvolvedIn,US military activity reported within Iraq,REJECT,US soldier killed in Iraq during disposal of downed Iranian drone,HostileTo,US soldier killed during disposal of downed Iranian drone in Iraq.,REJECT,Evidence does not define a clear Iraq‑Military relationship.,,,
31,Gaza,Ishaq Dar,1,0.2015,"Pakistan, Egypt condemn Israeli military actions in Gaza, occupied West Bank — Foreign ministers Ishaq Dar and Badr Abdelatty call for immediate end to hostilities during phone conversation co_mentioned: Badr Abdelatty, Egypt, Israel, Pakistan, West Bank",2,2,REJECT,"Ishaq Dar mentioned in Gaza context, no direct link",REJECT,Pakistan is condemning Israeli military actions in Gaza,InvolvedIn,Pakistani Foreign Minister Ishaq Dar condemned Israeli actions in Gaza.,InvolvedIn,Dar called for end of hostilities in Gaza.,,,
40,Czechia,Hornicek,2,0.3853,"Newcastle Sign Czech Goalkeeper Hornicek from Braga co_mentioned: Braga, Newcastle",2,2,REJECT,"Sports mention, no substantive link.",REJECT,Newcastle signs Hornicek from Braga,AffiliatedWith,"Hornicek is a Czech goalkeeper employed by Braga and Newcastle, indicating national affiliation.",AffiliatedWith,Hornicek identified as Czech goalkeeper,,,
42,Australia,TASS,1,0.3484,"**The US-Iran conflict has not led to fundamental changes in the global strategic balance and the situation may return to its prior condition in the next 60 days**, Jane Hardy, an Australian diplomat and foreign policy expert, told TASS. Hardy noted that the start of US-Iran negotiations has contributed to partial recovery of markets. At the same time, she emphasized that long-term consequences of",2,2,REJECT,"Diplomat quoted to TASS, not a structural relationship.",REJECT,Australian diplomat quotes TASS,InvolvedIn,Australian diplomat Jane Hardy spoke to TASS about US-Iran conflict.,ConductedVia,Australian diplomat gave statements to TASS,,,
44,Africa,Defense,1,0.3185,"Pentagon nominates Lt. Gen. Admiral to command US Army Europe and Africa — Lt. Gen. Kevin D. Admiral, who currently serves as the commander of III Corps and Fort Hood, Texas, was nominated to take over the top job on Thursday. co_mentioned: Admiral, Allied Land Command, Christopher Donahue, Christopher Norrie, Donahue, Europe",2,2,REJECT,Only co-mentioned in article title.,PartOf,Pentagon nominates Lt. Gen. Admiral to command US Army Europe and Africa,LocatedIn,"Pentagon nominated a commander for US Army Europe and Africa, indicating defense responsibility.",REJECT,Africa and Defense only co-mentioned,,,
51,Israel,Navy,1,0.3131,"US general tells Pentagon he lacks naval forces to protect Israel: Report — Without another Navy destroyer, Gen. Alexus Grynkewich said he would have to prioritize defense of US over Israel, reports Washington Post co_mentioned: Alexus Grynkewich, Pentagon, United States",2,2,REJECT,Only US Navy mentioned; no Israel‑Navy link.,HostileTo,US general lacks naval forces to protect Israel,SuppliesWeaponsTo,"US general cites lack of naval forces to protect Israel, implying US supports Israel's defense.",REJECT,No clear relationship; only protective comment mentioned.,,,
55,Austria,Pakistan,1,0.3012,"MOUNTAINEERING: THE LAST DESCENT — <figure class=""media w-full sm:w-full media--center media--uneven media--stretch""> <div class=""media__item ""><img alt="" Austrian Markus Kronthaler&rsquo;s remains being brought down from Broad Peak. Six Pakistani and two Austrian mountaineers collaborated in the 2007 recovery mission | Photo courtesy Georg Kronthaler "" src=""https://i.dawn.com/large/2026/07/050146",2,2,AlliedWith,Austrian and Pakistani climbers cooperated on 2007 rescue mission.,REJECT,"Austria and Pakistan are mentioned in the same article, but there is no relationship",REJECT,No meaningful relationship; co-mention in unrelated contexts (mountaineering photo).,AlliedWith,Austrian and Pakistani climbers jointly rescued mountaineers in 2007.,,,
56,Jarell Quansah,Reece James,2,0.3946,"[**Panama vs England: Saka, Rashford start for Three Lions in final World Cup group match**](https://f24.my/C1FX.g) England take on Panama at the MetLife Stadium on Friday, aiming to end the World Cup’s group phase on a high after their faux pas against Ghana. Jarell Quansah gets his first ​World Cup start for England as he replaces injured right-back Reece James, among five changes from coach Tho",2,2,REJECT,"Quansah replacing James is a roster change, not a relationship.",CoOccursWith,Jarell Quansah replaced injured Reece James for England,AffiliatedWith,"Quansah replaced James in the World Cup match, indicating both are affiliated with the England team.",REJECT,Quansah substituted for James; no directed relationship.,,,
65,Andean,Keiko Fujimori,2,0.4076,"Peru takes ultraconservative turn as Fujimori becomes president — Peru's new president Keiko Fujimori was sworn in on July 28, taking her oath of office before the country's Congress. The conservative leader now becomes the Andean nation's 9th chief executive in just 10 years - her electoral victory, an extremely narrow one - with just 50,000 votes separating her from left-wing rival Roberto Sanch",2,2,AffiliatedWith,Keiko Fujimori leads the Andean nation Peru,LocatedIn,"Keiko Fujimori mentioned as the leader of Peru, an Andean nation",REJECT,Andean refers to Peru; co-mention with Fujimori shows no direct tie,REJECT,Andean region not directly linked to Fujimori,,,
67,Liberia,United States,1,0.3058,"Liberia: Trump Faith Adviser Hails Liberia's Resilience — [New Dawn] Paula White-Cain, senior adviser to U.S. President Donald Trump's White House Faith Office, has described Liberia's 179-year history as a testament to faith, resilience and what she called God's sustaining grace. co_mentioned: Donald Trump, Paula White - Cain, Trump, White House Faith Office",2,2,REJECT,"Only supportive comment, no concrete action",LocatedIn,"United States mentioned as the country of origin for Paula White-Cain, who is describing Liberia's history",AffiliatedWith,US faith adviser praised Liberia's resilience,REJECT,No concrete Liberia‑US relationship indicated,,,
91,IRNA,Mohsin Naqvi,2,0.5379,"Pakistan, Iran pledge joint efforts for regional peace as interior ministers meet in Islamabad — Tehran, IRNA – Pakistan’s Interior Minister Mohsin Naqvi says that his country and Islamic Republic of Iran will work together to achieve regional peace and advance the welfare of their two nations, as senior delegations from both countries held formal talks in Islamabad. co_mentioned: Interior, Iran, ",2,2,REJECT,IRNA merely reports Mohsin Naqvi's statement,AffiliatedWith,IRNA reports on meeting between Pakistan and Iran interior ministers,InvolvedIn,IRNA reports on Iran-Pakistan talks involving Naqvi,REJECT,"IRNA news report, no direct link to Mohsin Naqvi",,,
94,France,UEFA Champions League,2,0.5446,"⚽️ **Three-time UEFA Champions League winner Zinedine Zidane has been appointed head coach of the French national football team ** Photo: Equipe de France/X co_mentioned: Equipe de France, Zinedine Zidane",2,2,REJECT,France and Champions League only co‑mentioned,LeaderOf,Zidane appointed head coach of French national football team,AffiliatedWith,French national team coach is former UCL winner,REJECT,Only co‑mention of France and Champions League,,,
95,Stade,Turkey,2,0.533,"**The main suspect in the deadly shooting at a welfare facility in the German city of Stade is a 45-year-old man with Turkish roots,** head of the Luneburg Police Directorate Kathrin Schuol has told reporters. She also said that a child custody dispute involving the suspect’s three-months-old girl, who was staying at the facility with her mother at the time of the attack, could be a possible motiv",2,2,REJECT,Stade and Turkey linked only via suspect's ancestry,LocatedIn,Main suspect in Stade shooting has Turkish roots,AffiliatedWith,Suspect in Stade attack has Turkish roots,REJECT,"Suspect’s Turkish roots, no direct Stade‑Turkey link",,,
99,Belgium,Jasper Philipsen,2,0.4753,"[**Philipsen wins Tour de France 17th stage as Pogacar retains overall lead**](https://f24.my/C4NV.g) Belgium's Jasper Philipsen won the 17th stage of the 2026 Tour de France on Wednesday with a comfortable lead ahead of Mauro Schmid and Olav Kooij at the end of the Alpine stage. While Tadej Pogacar struggled throughout the stage after suffering from a stomach problem the previous night, the Slove",2,2,REJECT,Only co-mentioned in race report,LocatedIn,Philipsen is a Belgian cyclist,LocatedIn,Belgium's Jasper Philipsen won Tour de France stage,REJECT,No substantive link beyond nationality,,,
102,Brownsville,Saronic,2,0.5069,"Drone Ship Maker Saronic Announces New $3B Shipyard In Texas Capable of Building 850-Foot Vessels — <p>Saronic has been making headlines with its drone boats, but its Texas shipyard supersizes its nautical ambitions.</p> <p>The post <a href=""https://www.twz.com/sea/drone-ship-maker-saronic-announces-new-3b-shipyard-in-texas-capable-of-building-850-foot-vessels"">Drone Ship Maker Saronic Announces N",2,2,REJECT,No explicit link to Brownsville,LocatedIn,"Saronic is announcing a new shipyard in Brownsville, Texas",LocatedIn,"Saronic announces new shipyard in Brownsville, Texas",REJECT,No evidence linking Brownsville to Saronic shipyard,,,
105,IRNA,Ministry of Commerce,2,0.5141,"Pakistan to host Iran for talks on free trade, investment cooperation — Islamabad, IRNA – Pakistan is slated to host Iran’s minister of industry, mine and trade for the 10th Joint Trade Committee meeting in Islamabad, with discussions expected to center on a free trade agreement and closer economic cooperation, Pakistan’s Ministry of Commerce says. co_mentioned: Iran, Islamabad, Pakistan, the Join",2,2,REJECT,No direct relationship indicated,MemberOf,IRNA is a news agency of the Ministry of Commerce of Iran,InvolvedIn,IRNA reported on Pakistan hosting Iran for talks with Ministry of Commerce,REJECT,IRNA and Ministry of Commerce not shown in a direct relationship,,,
107,Domodedovo,Russia,2,0.5292,"Kommersant: Russia’s General Prosecutor’s Office fires its ‘chief specialist’ in asset confiscation — <p>Russia’s Prosecutor General’s Office has fired Sergei Bochkarev, head of its main civil litigation department, the Russian business daily Kommersant reported, citing several sources. The paper described him as the “chief specialist” in seizing business assets for the state.<p> co_mentioned: Boc",2,2,LocatedIn,Domodedovo airport situated in Russia,REJECT,The relationship between Domodedovo and Russia is not clear,LocatedIn,Domodedovo is location where Russia's Prosecutor General's Office operates,REJECT,Domodedovo mentioned without indicating location relationship to Russia,,,
111,Stade,the Luneburg Police Directorate,2,0.4753,"**The main suspect in the deadly shooting at a welfare facility in the German city of Stade is a 45-year-old man with Turkish roots,** head of the Luneburg Police Directorate Kathrin Schuol has told reporters. She also said that a child custody dispute involving the suspect’s three-months-old girl, who was staying at the facility with her mother at the time of the attack, could be a possible motiv",2,2,REJECT,No substantive relationship between Stade and Luneburg Police Directorate,Targets,The police directorate is investigating a deadly shooting in Stade,AffiliatedWith,Luneburg Police Directorate head commented on Stade shooting incident.,REJECT,Only co-mentioned in shooting report,,,
118,Ansarullah,Sana'a,2,0.5249,"Ansarullah leader ties Riyadh to Epstein as Yemen locks in naval blockade — TEHRAN — Hundreds of thousands of residents of Sana’a and surrounding areas gathered in Sab’een Square on Friday amid heavy rainfall, chanting in defense of the resistance and the Yemeni armed forces. co_mentioned: Epstein, Riyadh, Sab’een Square, TEHRAN, Yemen",2,2,REJECT,No direct link between Ansarullah and Sana'a,LocatedIn,Ansarullah leader ties Riyadh to Epstein as Yemen locks in naval blockade,REJECT,Ansarullah leader tied Riyadh to Epstein as Yemen locks in naval blockade; Sana'a is Yemen's capital.,OperatesIn,Group active in Sana'a area,,,
123,Muneo Suzuki,Russia,2,0.4846,"**Japan and Russia need to step up economic cooperation, and Japanese companies want to resume doing business with Russia,** lawmaker from the ruling Liberal Democratic Party Muneo Suzuki told TASS. “We need to step up economic cooperation,” he said, recalling the visit to Moscow in May by officials from Japan's Ministry of Economy, Trade and Industry and the Foreign Ministry. “Japanese companies ",2,2,REJECT,"Suzuki expresses desire, not an established partnership with Russia.",AffiliatedWith,Suzuki said Japan and Russia need to step up economic cooperation,AffiliatedWith,Suzuki advocates for Japan-Russia economic cooperation,REJECT,"Statement of cooperation, no formal relationship",,,
